Cod_IBGE;Cidade;Longe;Latit
2300101;Abaiara;-39.041900;-7.345880
2300150;Acarape;-38.705500;-4.220830
2300200;Acaraú;-40.118300;-2.887690
2300309;Acopiara;-39.448600;-6.089110
2300408;Aiuaba;-40.117700;-6.571920
2300507;Alcântaras;-40.547900;-3.585370
2300606;Altaneira;-39.735200;-6.998370
2300705;Alto Santo;-38.274600;-5.508360
2300754;Amontada;-39.828700;-3.360980
2300804;Antonina do Norte;-39.986800;-6.769190
2300903;Apuiarés;-39.435300;-3.945090
2301000;Aquiraz;-38.390100;-3.899290
2301109;Aracati;-37.798100;-4.558260
2301208;Aracoiaba;-38.812000;-4.368990
2301257;Ararendá;-40.831000;-4.745670
2301307;Araripe;-40.135900;-7.213910
2301406;Aratuba;-39.047000;-4.412130
2301505;Arneiroz;-40.165400;-6.316500
2301604;Assaré;-39.868900;-6.866360
2301703;Aurora;-38.974100;-6.933490
2301802;Baixio;-38.713500;-6.719420
2301851;Banabuiú;-39.160300;-5.304540
2301901;Barbalha;-39.302400;-7.298200
2301950;Barreira;-38.642400;-4.289120
2302008;Barro;-38.774100;-7.171880
2302057;Barroquinha;-41.135300;-3.020510
2302107;Baturité;-38.884000;-4.325470
2302206;Beberibe;-38.127100;-4.177410
2302305;Bela Cruz;-40.167600;-3.049960
2302404;Boa Viagem;-39.733800;-5.122310
2302503;Brejo Santo;-38.979900;-7.493290
2302602;Camocim;-40.854400;-2.900600
2302701;Campos Sales;-40.368900;-7.068620
2302800;Canindé;-39.310700;-4.351620
2302909;Capistrano;-38.903200;-4.455320
2303006;Caridade;-39.191800;-4.225140
2303105;Cariré;-40.477300;-3.948580
2303204;Caririaçu;-39.282700;-7.028080
2303303;Cariús;-39.491400;-6.524240
2303402;Carnaubal;-40.941300;-4.159430
2303501;Cascavel;-38.241800;-4.129670
2303600;Catarina;-39.873600;-6.122930
2303659;Catunda;-40.205900;-4.643360
2303709;Caucaia;-38.661100;-3.727500
2303808;Cedro;-39.060900;-6.600340
2303907;Chaval;-40.825600;-3.035650
2303931;Choró;-39.134100;-4.839060
2303956;Chorozinho;-38.498300;-4.288310
2304004;Coreaú;-40.658600;-3.541750
2304103;Crateús;-40.668000;-5.167660
2304202;Crato;-39.409300;-7.215260
2304236;Croatá;-40.917500;-4.404810
2304251;Cruz;-40.173700;-2.918130
2304269;Deputado Irapuan Pinheiro;-39.257700;-5.914970
2304277;Ererê;-38.346300;-6.027910
2304285;Eusébio;-38.450200;-3.892500
2304301;Farias Brito;-39.565200;-6.927570
2304350;Forquilha;-40.263700;-3.799000
2304400;Fortaleza;-38.543400;-3.717220
2304459;Fortim;-37.798400;-4.451270
2304509;Frecheirinha;-40.819600;-3.755570
2304608;General Sampaio;-39.454700;-4.043510
2304657;Graça;-40.748300;-4.044730
2304707;Granja;-40.826900;-3.127950
2304806;Granjeiro;-39.214500;-6.881170
2304905;Groaíras;-40.385700;-3.917870
2304954;Guaiúba;-38.640100;-4.040570
2305001;Guaraciaba do Norte;-40.749400;-4.158090
2305100;Guaramiranga;-38.932300;-4.262040
2305209;Hidrolândia;-40.405000;-4.409580
2305233;Horizonte;-38.473300;-4.120910
2305266;Ibaretama;-38.750500;-4.803760
2305308;Ibiapina;-40.891600;-3.924920
2305332;Ibicuitinga;-38.636400;-4.969140
2305357;Icapuí;-37.358400;-4.712150
2305407;Icó;-38.855400;-6.396840
2305506;Iguatu;-39.291000;-6.362740
2305605;Independência;-40.308700;-5.387190
2305654;Ipaporanga;-40.753500;-4.897610
2305704;Ipaumirim;-38.717300;-6.782760
2305803;Ipu;-40.709600;-4.322950
2305902;Ipueiras;-40.711900;-4.538020
2306009;Iracema;-38.291000;-5.812290
2306108;Irauçuba;-39.784100;-3.747360
2306207;Itaiçaba;-37.833100;-4.671020
2306256;Itaitinga;-38.530500;-3.965770
2306306;Itapagé;-39.585300;-3.683140
2306405;Itapipoca;-39.583900;-3.499330
2306504;Itapiúna;-38.928100;-4.555160
2306553;Itarema;-39.916100;-2.924680
2306603;Itatira;-39.620200;-4.526500
2306702;Jaguaretama;-38.763900;-5.605370
2306801;Jaguaribara;-38.535300;-5.677170
2306900;Jaguaribe;-38.622000;-5.902120
2307007;Jaguaruana;-37.781100;-4.831800
2307106;Jardim;-39.282600;-7.575990
2307205;Jati;-39.003100;-7.679940
2307254;Jijoca de Jericoacoara;-40.512700;-2.793310
2307304;Juazeiro do Norte;-39.315600;-7.213060
2307403;Jucás;-39.518100;-6.515290
2307502;Lavras da Mangabeira;-38.970800;-6.744800
2307601;Limoeiro do Norte;-38.099900;-5.145290
2307635;Madalena;-39.572600;-4.846010
2307650;Maracanaú;-38.625000;-3.866670
2307700;Maranguape;-38.682900;-3.891430
2307809;Marco;-40.158500;-3.128610
2307908;Martinópole;-40.689100;-3.225200
2308005;Massapê;-40.342300;-3.523640
2308104;Mauriti;-38.765200;-7.385970
2308203;Meruoca;-40.453200;-3.539740
2308302;Milagres;-38.937100;-7.297590
2308351;Milhã;-39.187500;-5.672340
2308377;Miraíma;-39.966100;-3.568660
2308401;Missão Velha;-39.143200;-7.235240
2308500;Mombaça;-39.630700;-5.738440
2308609;Monsenhor Tabosa;-40.064800;-4.791020
2308708;Morada Nova;-38.370500;-5.097150
2308807;Moraújo;-40.677600;-3.463860
2308906;Morrinhos;-40.123600;-3.234260
2309003;Mucambo;-40.745600;-3.902710
2309102;Mulungu;-38.995400;-4.302160
2309201;Nova Olinda;-39.671300;-7.084560
2309300;Nova Russas;-40.562200;-4.705810
2309409;Novo Oriente;-40.771700;-5.525520
2309458;Ocara;-38.593900;-4.485230
2309508;Orós;-38.905000;-6.251460
2309607;Pacajus;-38.461100;-4.171110
2309706;Pacatuba;-38.620500;-3.978390
2309805;Pacoti;-38.921500;-4.224920
2309904;Pacujá;-40.698000;-3.983070
2310001;Palhano;-37.965200;-4.736570
2310100;Palmácia;-38.844300;-4.138320
2310209;Paracuru;-39.030700;-3.414360
2310258;Paraipaba;-39.147800;-3.437990
2310308;Parambu;-40.690500;-6.207680
2310407;Paramoti;-39.241600;-4.088690
2310506;Pedra Branca;-39.707600;-5.454040
2310605;Penaforte;-39.070100;-7.821630
2310704;Pentecoste;-39.269700;-3.792430
2310803;Pereiro;-38.462800;-6.035750
2310852;Pindoretama;-38.306500;-4.015070
2310902;Piquet Carneiro;-39.416200;-5.800090
2310951;Pires Ferreira;-40.644400;-4.239210
2311009;Poranga;-40.920300;-4.746760
2311108;Porteiras;-39.114200;-7.522650
2311207;Potengi;-40.023300;-7.091240
2311231;Potiretama;-38.157600;-5.712900
2311264;Quiterianópolis;-40.700500;-5.842500
2311306;Quixadá;-39.015500;-4.966050
2311355;Quixelô;-39.201700;-6.246560
2311405;Quixeramobim;-39.290100;-5.190680
2311504;Quixeré;-37.980200;-5.071480
2311603;Redenção;-38.727800;-4.215870
2311702;Reriutaba;-40.575700;-4.141910
2311801;Russas;-37.975100;-4.940010
2311900;Saboeiro;-39.901200;-6.534330
2311959;Salitre;-40.455700;-7.283700
2312007;Santa Quitéria;-40.152200;-4.326100
2312106;Santana do Acaraú;-40.211900;-3.461630
2312205;Santana do Cariri;-39.730200;-7.176870
2312304;São Benedito;-40.859300;-4.047130
2312403;São Gonçalo do Amarante;-38.968300;-3.607670
2312502;São João do Jaguaribe;-38.269700;-5.275160
2312601;São Luís do Curu;-39.239100;-3.669320
2312700;Senador Pompeu;-39.370900;-5.582440
2312809;Senador Sá;-40.466100;-3.353890
2312908;Sobral;-40.348200;-3.689200
2313005;Solonópole;-39.010700;-5.718800
2313104;Tabuleiro do Norte;-38.128500;-5.243470
2313203;Tamboril;-40.319700;-4.831530
2313252;Tarrafas;-39.752900;-6.678880
2313302;Tauá;-40.310700;-5.985850
2313351;Tejuçuoca;-39.579400;-3.988310
2313401;Tianguá;-40.991300;-3.729650
2313500;Trairi;-39.268900;-3.269320
2313559;Tururu;-39.429700;-3.584130
2313609;Ubajara;-40.920600;-3.854320
2313708;Umari;-38.700700;-6.638590
2313757;Umirim;-39.346300;-3.676760
2313807;Uruburetama;-39.508600;-3.623150
2313906;Uruoca;-40.562500;-3.308600
2313955;Varjota;-40.474900;-4.193550
2314003;Várzea Alegre;-39.394000;-6.782640
2314102;Viçosa do Ceará;-41.091100;-3.562490
